Area;Regione;prov;COD_COM;NTN_2017_Uffici;NTN_2017_Negozi_Lab;NTN_2017_Depositi_Comm_Autorimesse;NTN_2017_TCO_B04;NTN_2017_TCO_D02;NTN_2017_TCO_D05;NTN_2017_TCO_D08;NTN_2017_PRO;NTN_2017_AGR
"Sud";"Campania";"AV";"A228";0,000000;1,000000;3,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Isole";"Sicilia";"PA";"A229";1,000000;1,000000;11,920000;0,000000;0,000000;0,000000;0,000000;3,000000;0,000000
"Sud";"Campania";"SA";"A230";0,000000;1,000000;6,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Nord Est";"Veneto";"VI";"A231";2,000000;7,000000;5,000000;0,000000;0,000000;0,000000;0,000000;4,000000;0,000000
"Centro";"Marche";"AP";"A233";0,000000;2,000000;5,500000;0,000000;0,000000;0,000000;1,000000;0,000000;0,000000
"Sud";"Calabria";"CS";"A234";0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Sud";"Abruzzo ";"CH";"A235";0,000000;1,000000;1,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Nord Est";"Veneto";"VI";"A236";0,000000;0,000000;4,500000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Nord Est";"Veneto";"TV";"A237";1,000000;6,000000;7,000000;0,000000;0,000000;0,000000;0,000000;1,000000;1,000000
"Nord Ovest";"Piemonte";"CN";"A238";0,000000;0,000000;2,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Isole";"Sicilia";"PA";"A239";0,000000;1,000000;10,040000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Sud";"Calabria";"CS";"A240";0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;1,000000;0,000000
"Centro";"Toscana";"LU";"A241";2,000000;2,500000;14,000000;0,000000;0,000000;0,000000;0,000000;15,000000;0,000000
"Centro";"Umbria";"TR";"A242";0,000000;1,000000;3,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Sud";"Campania";"CE";"A243";0,000000;0,500000;4,910000;0,000000;0,000000;0,000000;0,000000;1,500000;2,000000
"Centro";"Lazio";"FR";"A244";0,000000;1,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;1,000000
"Nord Ovest";"Piemonte";"AL";"A245";0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;2,000000;0,000000
"Nord Ovest";"Lombardia";"BG";"A246";8,000000;11,000000;25,750000;0,000000;0,000000;0,000000;0,000000;2,210000;0,000000
"Nord Ovest";"Lombardia";"CO";"A249";0,000000;2,000000;1,450000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
