Area;Regione;Provincia;2022_CodCom;NTN 2022 fino a 50 mq;NTN  2022 50 -| 85 mq;NTN 2022 85 -| 115 mq;NTN  2022 115 -| 145 mq;NTN  2022 oltre 145 mq;NTN_2022
Sud;Calabria;CS;A773;31;61,25;39,16;24,4;25,75;181,56
Nord Ovest;Piemonte;CN;A774;0;0;1;2;4,25;7,25
Isole;Sardegna;NU;A776;0;1;0;0;3;4
Nord Ovest;Lombardia;SO;A777;0;0;0;0;0;0
Nord Ovest;Lombardia;CO;A778;0;1;4;1;1;7
Nord Ovest;Piemonte;CN;A779;3;4,33;10,5;7;21,33;46,16
Sud;Calabria;RC;A780;0;2;2;1;2,33;7,33
Isole;Sardegna;SS;A781;0;0,33;2;1;6,42;9,75
Nord Ovest;Piemonte;CN;A782;0,34;0;0;1;3;4,34
Sud;Campania;BN;A783;29,26;127,61;182,31;155,44;127,52;622,14
Nord Ovest;Piemonte;BI;A784;0;2;1;5;4,5;12,5
Nord Est;Emilia-Romagna;BO;A785;1;35;25,5;11;25,5;98
Nord Ovest;Lombardia;BG;A786;2;7,51;8,5;4;11,34;33,35
Nord Ovest;Lombardia;SO;A787;2,25;7,25;7,25;11;7,5;35,25
Nord Est;Emilia-Romagna;PR;A788;2;16;21;8,34;12,33;59,67
Isole;Sardegna;SS;A789;3;5;10,22;3;11,72;32,94
Nord Ovest;Lombardia;CO;A791;1;2;10;3;6,83;22,83
Nord Ovest;Lombardia;PV;A792;6;6,5;11,67;8,5;11;43,67
Nord Ovest;Piemonte;AL;A793;0;0;1;0;7,25;8,25
Nord Ovest;Lombardia;BG;A794;228,96;688,26;672,14;371,47;305,97;2266,8
Nord Est;Veneto;RO;A795;2;3;9;5;16,08;35,08
Nord Ovest;Liguria;SV;A796;13,01;24,76;9;4;4;54,77
Nord Ovest;Piemonte;CN;A798;0;0;1;0;0;1
Nord Ovest;Lombardia;BS;A799;2;9;9,75;5,5;9,22;35,47
Sud;Basilicata;MT;A801;15,75;64,7;28,5;13,8;16,5;139,25
Nord Ovest;Lombardia;MI;A802;15,5;73,3;72,67;37,5;33,5;232,47
Nord Ovest;Lombardia;MI;A804;1;6;10,67;4,67;6;28,34
Nord Ovest;Piemonte;CN;A805;2;19;13;11;22;67
Nord Est;Emilia-Romagna;FO;A809;10;62,5;28,5;19,75;34,32;155,07
Nord Est;Friuli- Venezia Giulia;UD;A810;0;3;3;2;14;22
Nord Ovest;Lombardia;LO;A811;0;4;3;3;1;11
Nord Ovest;Piemonte;AT;A812;0;0;0;2;3;5
Nord Ovest;Piemonte;AL;A813;0;0;0;0;3;3
Nord Ovest;Lombardia;BG;A815;0;1;2;0;3,83;6,83
Nord Ovest;Lombardia;BS;A816;3;1;3,24;1;4;12,24
Nord Ovest;Lombardia;BS;A817;3,87;3;3;8;7,25;25,12
Nord Ovest;Lombardia;MI;A818;14,03;81,55;75,13;33,17;44;247,88
Nord Ovest;Lombardia;VA;A819;1;9;13;4;14,17;41,17
Nord Ovest;Lombardia;MI;A820;2,33;10;14,5;2;3,5;32,33
Nord Est;Emilia-Romagna;PC;A823;0;0;5,5;4;3,07;12,57
Nord Ovest;Lombardia;VA;A825;2;22,33;12,28;8;25,5;70,11
Nord Ovest;Lombardia;VA;A826;7;26,5;25,5;19,3;28,5;106,8
Isole;Sardegna;SS;A827;0;1;0;0;1;2
Nord Est;Emilia-Romagna;PC;A831;3;14,91;16,58;6,4;21,5;62,39
Centro;Umbria;PG;A832;1;5;16;10;12;44
Nord Ovest;Piemonte;VB;A834;0;2;2,67;0;7;11,67
Centro;Umbria;PG;A835;5;10,5;18,4;14;13,27;61,17
Nord Ovest;Liguria;SP;A836;6;6;4;5,5;5;26,5
Nord Est;Veneto;VR;A837;0;6;4,5;10,38;5,5;26,38
Isole;Sicilia;CT;A841;23,6;32,63;37,25;25,27;25,5;144,25
Sud;Calabria;CS;A842;0;2;0;1;0;3
Sud;Calabria;RC;A843;3,67;16,75;5,92;3,83;8,5;38,67
Nord Ovest;Piemonte;NO;A844;1;3;14,25;8;10,33;36,58
Nord Ovest;Lombardia;VA;A845;1;12,67;13,5;5;4,5;36,67
Nord Ovest;Lombardia;BG;A846;10;9;1;0;1,75;21,75
Nord Ovest;Piemonte;VC;A847;0;2;5;3,67;11;21,67
Nord Ovest;Lombardia;SO;A848;7;5;3,83;4,83;6;26,66
Nord Ovest;Lombardia;MI;A849;8;59;54,17;31,67;25,76;178,6
Nord Est;Emilia-Romagna;RE;A850;2;35,5;35,17;30,67;38,17;141,51
Centro;Toscana;AR;A851;3;31,17;31,7;38,3;28,36;132,53
Centro;Toscana;LI;A852;33,5;56,97;19,03;6,17;7;122,67
Nord Ovest;Piemonte;TO;A853;3;7;12,67;8;16,33;47
Sud;Puglia;FG;A854;11,86;13,67;14;3;3;45,53
Nord Est;Friuli- Venezia Giulia;UD;A855;1;1;3;1;11,58;17,58
Isole;Sardegna;OR;A856;0;0;1;0;0;1
Centro;Lazio;VT;A857;10;18,83;9,73;4,17;5,4;48,13
Nord Ovest;Piemonte;BI;A859;51,95;226,25;226,5;97;141,8;743,5
Nord Ovest;Lombardia;BS;A861;0;14;10;5;10,16;39,16
Centro;Toscana;PI;A864;2;53,5;31,84;33;32,63;152,97
Nord Ovest;Lombardia;CO;A870;1,5;17,5;21,5;16;8,5;65
Nord Ovest;Lombardia;MI;A872;13;38,5;37;10;9;107,5
Sud;Puglia;BA;A874;1;4,67;4,89;1;10;21,56
Nord Ovest;Piemonte;BI;A876;1;1;1;7,83;12,17;23
Nord Ovest;Valle d'Aosta;AO;A877;4;1;2;2;1;10
Nord Ovest;Lombardia;BS;A878;0;8;2;4;3,5;17,5
Isole;Sardegna;NU;A880;0;0;0;0;6;6
Sud;Campania;AV;A881;7;7;7;7;9,5;37,5
Isole;Sicilia;PA;A882;3;4;3,67;6;14,4;31,07
Sud;Puglia;BA;A883;66,84;245,7;216,82;110,92;56,83;697,11
Sud;Abruzzo;AQ;A884;1;0;1;0;1;3
Sud;Abruzzo;TE;A885;6;5;6;3;7,33;27,33
Sud;Calabria;CS;A887;1,5;6,5;8;7;13;36
Nord Ovest;Piemonte;AL;A889;0;7;5,95;2;11,5;26,45
Nord Ovest;Lombardia;VA;A891;3;8;13;10,89;20,05;54,94
Sud;Puglia;BA;A892;4,5;22,5;48,9;34,34;15,5;125,74
Sud;Puglia;BA;A893;51,1;162,27;227,26;141,94;71,48;654,05
Sud;Puglia;BA;A894;8;42;94,17;32,17;16,33;192,67
Isole;Sardegna;NU;A895;0,88;0;3,22;1;1;6,1
Isole;Sicilia;AG;A896;3;4;4;6;7;24
Sud;Calabria;RC;A897;1,5;1;1,67;0,5;2;6,67
Nord Ovest;Lombardia;CO;A898;1;16,67;16;2,78;1,75;38,2
Nord Ovest;Lombardia;BG;A903;0;4;0;0;0;4
Nord Ovest;Lombardia;CO;A904;0;2;1;0;4;7
Nord Ovest;Lombardia;CO;A905;4;9;4;2;7,1;26,1
Nord Est;Veneto;PD;A906;1;5;5,78;5,33;15,06;32,17
Nord Est;Emilia-Romagna;PC;A909;7,56;23,78;24,33;16,99;8,64;81,3
Nord Ovest;Piemonte;TO;A910;4;7,17;6;2;2,75;21,92
Nord Ovest;Piemonte;NO;A911;0;1;1;2,83;3,5;8,33
Sud;Calabria;CS;A912;0;0;1;0;1;2
Nord Ovest;Piemonte;VC;A914;4;8;3;1;3;19
Nord Ovest;Lombardia;VA;A918;1;8;8;2;8;27
Nord Ovest;Lombardia;LO;A919;0;12,89;9,5;3,5;2;27,89
Nord Ovest;Lombardia;MI;A920;3,06;9;13,34;4;15,56;44,96
Nord Ovest;Liguria;GE;A922;3;27,5;15;16;10,15;71,65
Nord Ovest;Piemonte;VB;A925;3;5,75;7;0;2;17,75
Nord Ovest;Piemonte;NO;A929;0;12;4;6;14,5;36,5
Sud;Molise;CB;A930;3;4,5;11;12;14,25;44,75
Nord Ovest;Liguria;SV;A931;5;28;13;10;6;62
Nord Ovest;Liguria;SP;A932;3;20,43;30,74;18,5;14,76;87,43
Nord Ovest;Lombardia;BG;A937;2;15,31;31,86;24,86;17;91,03
Nord Ovest;Lombardia;MI;A940;49,5;204,68;140,66;70,33;55,44;520,61
Nord Ovest;Piemonte;TO;A941;1;3;4;4;8;20
Sud;Basilicata;MT;A942;1,98;21;12;4;2;40,98
Nord Est;Emilia-Romagna;BO;A944;1011,96;2923,62;1810,17;648,06;396,56;6790,37
Sud;Abruzzo;PE;A945;1,74;1;1;1;4;8,74
Isole;Sicilia;PA;A946;2;8;10;2;11,5;33,5
Centro;Marche;MC;A947;0;2;1;0;1;4
Isole;Sardegna;NU;A948;0;2;4,75;3;8,8;18,55
Centro;Lazio;VT;A949;10,75;15,5;21;10,9;7;65,15
Nord Ovest;Lombardia;BG;A950;8,22;38,22;34,72;13,5;12,88;107,54
Nord Ovest;Piemonte;NO;A953;0,5;3;3,3;0;3,5;10,3
Nord Est;Veneto;VI;A954;0;12,5;21;12,5;19,2;65,2
Centro;Lazio;VT;A955;4;10;10;2;6;32
Sud;Abruzzo;CH;A956;0,5;3,25;2;0,25;0;6
Isole;Sicilia;CL;A957;1;0;0;1;2;4
Isole;Sicilia;PA;A958;2;2;2;4,36;2;12,36
Nord Est;Emilia-Romagna;MO;A959;4;51,4;60;33;23,17;171,57
Isole;Sardegna;OR;A960;0,33;1;2;1;0,67;5
Nord Ovest;Liguria;SP;A961;7;17,83;5,33;3,67;5;38,83
Nord Ovest;Lombardia;BG;A962;4;21,33;38,66;16,56;16,9;97,45
Nord Ovest;Lombardia;BG;A963;6,33;38;39,5;34,97;27,16;145,96
Nord Est;Veneto;VR;A964;0;3;5,5;4;14,77;27,27
Nord Est;Emilia-Romagna;FE;A965;7,5;20,17;46,5;26;64,51;164,68
Sud;Campania;BN;A970;2;2;1;3;4;12
Sud;Molise;CB;A971;1;0;3;2;4;10
Nord Ovest;Lombardia;CR;A972;0;2;3;5;8,5;18,5
Sud;Calabria;CS;A973;40,58;35,91;8,67;5,5;4;94,66
Sud;Campania;AV;A975;2;3;7;4;4;20
Isole;Sardegna;SS;A976;0;2;1;2;3;8
Isole;Sardegna;SS;A977;1;2;2;1;11,67;17,67
Isole;Sardegna;SS;A978;1,66;6,5;4;8,75;12,67;33,58
Nord Ovest;Piemonte;CN;A979;0;1;0;0;2;3
Centro;Lazio;RI;A981;0;4,67;3;3;0,25;10,92
Nord Est;Veneto;BL;A982;1;8,83;12,66;4;2;28,49
Nord Est;Friuli- Venezia Giulia;UD;A983;0;1;3,67;4;2,5;11,17
Nord Ovest;Liguria;IM;A984;72,08;150;48,5;24,33;27,05;321,96
Nord Ovest;Lombardia;CR;A986;0;1;4,33;0;1;6,33
Nord Est;Emilia-Romagna;PR;A987;0;7,5;6;4;5,83;23,33
Nord Est;Emilia-Romagna;RE;A988;4;18,5;21;11,5;32,5;87,5
Nord Ovest;Lombardia;PV;A989;0;8;9;8;7;32
Nord Ovest;Piemonte;TO;A990;2;57,33;69,25;20;21,33;169,91
Isole;Sicilia;PA;A991;5;6;8,5;13;10;42,5
Nord Ovest;Liguria;SP;A992;1;3;3;4;2,17;13,17
Nord Ovest;Liguria;IM;A993;2;2;4;1;11,5;20,5
Nord Ovest;Lombardia;LO;A995;0;11;15,5;15;15,5;57
Centro;Lazio;RI;A996;1;2;2,67;1,67;1;8,34
Nord Ovest;Piemonte;AL;A998;0;5;6;6;8;25
Nord Ovest;Liguria;SV;A999;158,51;172,92;15,5;8;4;358,93
Nord Est;Emilia-Romagna;FO;B001;4;31,5;7,29;11,33;6,5;60,62
Sud;Calabria;CZ;B002;7,33;12,33;12;9,13;10,05;50,84
Nord Ovest;Piemonte;TO;B003;0;3;1;2;2;8
Nord Ovest;Liguria;SV;B005;10,2;39,17;17;4;6;76,37
Centro;Toscana;LU;B007;3;10,83;13;13,5;18,4;58,73
Centro;Lazio;RI;B008;5;13,83;12,67;6,5;9;47
Nord Ovest;Piemonte;VC;B009;0;1;3;5;5;14
Nord Ovest;Lombardia;BG;B010;1;2;3;1;7;14
Nord Ovest;Lombardia;MN;B012;1,5;6;13,5;6;7;34
Nord Ovest;Lombardia;PV;B014;0;1;2;0;7,5;10,5
Nord Ovest;Piemonte;TO;B015;0;3;11,33;7;15;36,33
Nord Ovest;Piemonte;NO;B016;0;5;6,5;8,25;8;27,75
Nord Ovest;Lombardia;LO;B017;0;23;8;13,5;3;47,5
Nord Ovest;Piemonte;CN;B018;0;0,33;1;0;0;1,33
Nord Ovest;Piemonte;NO;B019;21;73,68;73,68;55,13;45,83;269,32
Nord Ovest;Liguria;IM;B020;0;10;4;1;3;18
Nord Ovest;Piemonte;TO;B021;2;2;1;4;15,5;24,5
Nord Ovest;Piemonte;TO;B024;0;12;7;14;13,5;46,5
Nord Est;Emilia-Romagna;PC;B025;2;23,22;46,25;22,5;25,47;119,44
Centro;Marche;PS;B026;2;4;3;1;5;15
Nord Ovest;Lombardia;PV;B028;0;1;2;5;7;15
Nord Ovest;Piemonte;AL;B029;0;2,5;0;3;5,17;10,67
Nord Ovest;Lombardia;PV;B030;1;0,5;2;1;3;7,5
Nord Est;Veneto;PD;B031;1,07;17,54;26,5;16;43,62;104,73
Nord Ovest;Piemonte;CN;B033;9,02;45,5;36,17;29,84;35;155,53
Nord Est;Emilia-Romagna;PR;B034;8,5;96,08;160,4;70,14;82,93;418,05
Nord Ovest;Lombardia;BS;B035;1;8;14,42;7,5;26,91;57,83
Centro;Toscana;FI;B036;13,96;96;105,82;56,29;65,47;337,54
Nord Ovest;Piemonte;AL;B037;2;6;6;1;5;20
Nord Ovest;Lombardia;PV;B038;0;4;1;4;3;12
Nord Ovest;Lombardia;BS;B040;3;19;34,5;40,18;26;122,68
Nord Ovest;Piemonte;VC;B041;6;44,6;48,11;27,39;40,72;166,82
Nord Est;Emilia-Romagna;PR;B042;4,17;15,01;31,5;20,5;23;94,18
Nord Ovest;Piemonte;NO;B043;3;18,11;27,61;11,5;19,36;79,58
Nord Est;Emilia-Romagna;BO;B044;0;15;11,17;10;9,33;45,5
Nord Ovest;Piemonte;VC;B046;2;4;6,5;1,83;14;28,33
Nord Ovest;Liguria;SV;B048;2;2;1;0;1,5;6,5
Nord Ovest;Lombardia;SO;B049;24,49;49;22,1;9,2;5,16;109,95
Nord Ovest;Lombardia;PV;B051;2;15,5;13;7,5;5;43
Nord Ovest;Lombardia;BS;B054;18;39,33;13,2;1,92;8;80,45
Isole;Sardegna;OR;B055;0;0;0;0;0;0
Isole;Sardegna;NU;B056;1;1;1;2;5;10
Sud;Abruzzo;CH;B057;0;2;1;1;0;4
Nord Ovest;Piemonte;BI;B058;0;0;2,07;2;6,5;10,57
Nord Est;Veneto;TV;B061;3;8;13,66;9,83;36,9;71,39
Isole;Sardegna;NU;B062;0;3;2;1;2;8
Isole;Sardegna;SS;B063;0;0;1;0;1;2
Isole;Sardegna;SS;B064;0;1;0,6;0;0;1,6
Nord Ovest;Liguria;GE;B067;3;8;9,39;11;5;36,39
Isole;Sardegna;NU;B068;9;39,14;20,53;10,92;20,22;99,81
Nord Est;Veneto;RO;B069;0;1;4,67;2;6;13,67
Nord Est;Veneto;VR;B070;0;0;2;8,44;11;21,44
Nord Ovest;Piemonte;AL;B071;0;3;3,5;7,5;16;30
Nord Est;Veneto;VR;B073;22;81,83;24;12,5;24,5;164,83
Nord Ovest;Piemonte;TO;B075;1;8;13,33;10;11,33;43,66
Sud;Campania;NA;B076;10,88;23,05;34,57;28,82;17,38;114,7
Sud;Campania;NA;B077;9;17,59;16;18;10,3;70,89
Nord Ovest;Piemonte;CN;B079;0;0;1;0;3;4
Nord Ovest;Piemonte;AL;B080;1;0;2,67;2;9,5;15,17
Nord Ovest;Lombardia;LC;B081;3;12;12,52;4,5;11;43,02
Nord Ovest;Lombardia;PV;B082;0;2;0,5;2;3;7,5
Nord Ovest;Lombardia;BG;B083;1;2,21;2;3,33;1;9,54
Nord Ovest;Piemonte;CN;B084;3;1,39;1;3;4;12,39
Sud;Calabria;CZ;B085;19;20;11;3;6;59
Sud;Puglia;LE;B086;0;3;0;1;11,53;15,53
Nord Ovest;Lombardia;BG;B088;2;18;15,5;13,78;12,5;61,78
Nord Ovest;Lombardia;BS;B091;6,67;44,16;33,08;19,33;28;131,24
Isole;Sardegna;SS;B094;0;0;1;0;3;4
Sud;Calabria;RC;B097;1;1;2;0;1;5
Sud;Calabria;RC;B098;4;12,83;16,5;9;14,5;56,83
Sud;Calabria;RC;B099;4;13,83;11;5,75;3;37,58
Nord Ovest;Lombardia;BS;B100;2;7,25;6,92;3,83;6,33;26,33
Nord Ovest;Piemonte;CN;B101;8;29,16;27,02;11,75;30,84;106,77
Nord Ovest;Lombardia;BS;B102;5;33,2;32;13,5;21,67;105,37
Sud;Puglia;FG;B104;9,63;14,5;6,2;4;4;38,33
Nord Ovest;Lombardia;MI;B105;17,75;91,05;86;30;28,5;253,3
Nord Est;Veneto;PD;B106;1;6;15,5;5,5;13;41
Nord Est;Veneto;VR;B107;5;29;47,41;36,74;59,83;177,98
Nord Ovest;Piemonte;AL;B109;0;1;5;2;3;11
Nord Ovest;Lombardia;MN;B110;0;4;11;9;21,08;45,08
Nord Ovest;Piemonte;CN;B111;17;92,42;131,17;55,89;97,23;393,71
Nord Ovest;Lombardia;BG;B112;5;1;0;1;2,5;9,5
Centro;Lazio;RM;B114;25;91,15;79,84;52,55;25,33;273,87
Sud;Campania;SA;B115;1;3;8;6;11,5;29,5
Nord Ovest;Lombardia;PV;B117;3;6,5;3;5;1;18,5
Sud;Calabria;RC;B118;2;6;4;3;9;24
Nord Ovest;Lombardia;BS;B120;1;10,5;2,66;2;9,83;25,99
Nord Ovest;Piemonte;TO;B121;3;40,53;39,5;23,5;25,01;131,54
Nord Ovest;Lombardia;BG;B123;13,54;21,04;4;3,5;2;44,08
Nord Ovest;Lombardia;BS;B124;0;2;3;1,25;1,5;7,75
Nord Ovest;Lombardia;VA;B126;5;9;8,8;6;10,5;39,3
Nord Est;Veneto;TV;B128;0;18;21,25;12,5;35,81;87,56
Nord Ovest;Lombardia;CR;B129;0;15,5;24,22;16,22;27,67;83,61
Nord Ovest;Lombardia;VA;B131;0;2,5;7;6;2;17,5
Nord Est;Veneto;VI;B132;2;14,88;18;16,67;29;80,55
Nord Ovest;Lombardia;CO;B134;3;24;20;16;13,5;76,5
Nord Ovest;Lombardia;BG;B137;3;44,84;43,5;26,17;25,5;143,01
Nord Ovest;Lombardia;BG;B138;8;19,5;25,75;25,42;23,14;101,81
Nord Ovest;Lombardia;LO;B141;0;10,5;15,33;10;6;41,83
Nord Ovest;Lombardia;PV;B142;0;1;3;3;9;16
Nord Est;Veneto;VI;B143;4,5;7,67;25,5;16;33,5;87,17
Nord Ovest;Lombardia;CO;B144;1;4;5;6,33;7,12;23,45
Nord Ovest;Lombardia;BS;B149;14,5;8;9;13,5;16,33;61,33
Nord Ovest;Lombardia;VA;B150;0;3;7,02;8;9,27;27,29
Nord Est;Veneto;VR;B152;1,83;4,66;1;5,33;6,5;19,32
Nord Est;Veneto;VR;B154;14,38;32,67;28,5;12;12;99,55
Nord Est;Emilia-Romagna;RE;B156;0;14,5;21;15,5;27,67;78,67
Nord Ovest;Lombardia;BS;B157;221,31;980,41;1003,96;509,36;518,94;3233,98
Nord Ovest;Lombardia;PV;B159;2;7;16,5;6,25;9,75;41,5
Nord Est;Veneto;VI;B161;1;9;8;3;11,33;32,33
Nord Ovest;Lombardia;MI;B162;35,7;207,25;116,43;44,17;19;422,55
Nord Ovest;Lombardia;VA;B166;13;24;9,5;3;10;59,5
Nord Ovest;Piemonte;CN;B167;0;0;1;1;2;4
Sud;Calabria;VV;B169;11,5;21,5;13,8;1;4;51,8
Nord Ovest;Piemonte;TO;B171;1;17;16,83;13,75;19,38;67,96
Nord Ovest;Lombardia;CO;B172;0;1;4;1;2;8
Sud;Basilicata;PZ;B173;7;7;1,5;1;4;20,5
Nord Ovest;Piemonte;CN;B175;0;2;0;0,5;0;2,5
Nord Ovest;Piemonte;NO;B176;1;6;6;5,5;9,86;28,36
Nord Ovest;Lombardia;BG;B178;1;24,5;27,05;12;23,04;87,59
Nord Ovest;Piemonte;AL;B179;0;1;1;2;3;7
Sud;Puglia;BR;B180;45,04;193,28;333,24;257,45;146,62;975,63
Sud;Basilicata;PZ;B181;1,86;1;2,86;0,89;0;6,61
Nord Ovest;Lombardia;VA;B182;0;1;4;0;3;8
Nord Ovest;Piemonte;NO;B183;1;3;4;3;3;14
Nord Ovest;Lombardia;BS;B184;2;8;4;1;3;18
Nord Ovest;Lombardia;MI;B187;2;12,25;19,67;16,56;30;80,48
Nord Est;Emilia-Romagna;RA;B188;4;21,5;13,5;18,5;40,25;97,75
Nord Ovest;Lombardia;VA;B191;1,5;2,75;4;1;4,5;13,75
Nord Ovest;Valle d'Aosta;AO;B192;0;1;1;2;0;4
Sud;Abruzzo;PE;B193;0;1,5;1;0;1;3,5
Nord Ovest;Lombardia;LC;B194;2;22;22,5;5;6;57,5
Centro;Lazio;FR;B195;1;0;2,33;3;3;9,33
Nord Est;Veneto;VI;B196;0;7;15,5;5;8,94;36,44
Sud;Calabria;VV;B197;2;1;1;0;0;4
Isole;Sicilia;ME;B198;10;27;15,39;10;3;65,39
Nord Ovest;Piemonte;CN;B200;1,26;1,13;1;2;1;6,39
Nord Ovest;Lombardia;PV;B201;10;37;43,84;14,67;24;129,51
Isole;Sicilia;CT;B202;28,48;32,14;31,22;18,5;28,17;138,51
Nord Ovest;Piemonte;CN;B204;2,5;3,67;4;3;2;15,17
Nord Ovest;Piemonte;TO;B205;3;4;2;2;4;15
Nord Ovest;Piemonte;VB;B207;1;1;1;3;5;11
Nord Ovest;Piemonte;TO;B209;0;1;1;2;5;9
Nord Ovest;Lombardia;MI;B212;35;244,96;195,48;49,69;48,17;573,3
Nord Est;Veneto;PD;B213;1,67;21,5;14;21,89;16,17;75,23
Nord Ovest;Liguria;SP;B214;0;4,96;7;4;2;17,96
Nord Est;Friuli- Venezia Giulia;PN;B215;0;14,11;19;16;42,17;91,28
Nord Ovest;Piemonte;TO;B216;1;28,5;53,33;23;33,5;139,33
Nord Ovest;Lombardia;BG;B217;1;6;0,69;1,5;1;10,19
Nord Ovest;Lombardia;CO;B218;2;4,33;5,83;4,33;8;24,49
Nord Ovest;Lombardia;VA;B219;0;2;2;3;4,5;11,5
Nord Ovest;Piemonte;AT;B221;0;0;0;1;2;3
Nord Ovest;Lombardia;BG;B223;1;14;30,17;12;11,5;68,67
Nord Ovest;Piemonte;TO;B225;1,94;5;4;7,5;16;34,44
Sud;Campania;NA;B227;12;18;32,58;26,12;25,76;114,46
Nord Ovest;Lombardia;VA;B228;3;4;6,5;5;5;23,5
