AREA;Regione;prov;2018_CodCom;NTN_2018_Box;NTN_2018_Depositi_Pert
Nord Est;Emilia-Romagna;RE;C141;198,17;9
Nord Ovest;Piemonte;AL;C142;0;0
Nord Ovest;Liguria;IM;C143;5;4
Nord Est;Emilia-Romagna;PC;C145;34,11;0
Centro;Toscana;GR;C147;5;4
Nord Ovest;Piemonte;AL;C148;29,5;2
Nord Ovest;Piemonte;NO;C149;0;0
Centro;Marche;AN;C152;2;1
Nord Ovest;Lombardia;CR;C153;71,26;4,83
Nord Ovest;Piemonte;AT;C154;1;0
Nord Ovest;Piemonte;BI;C155;2;2
Nord Ovest;Piemonte;AL;C156;0;2
Nord Ovest;Lombardia;PV;C157;30;0
Nord Ovest;Piemonte;AL;C158;5;2
Nord Ovest;Piemonte;AL;C160;0;2
Nord Ovest;Piemonte;AT;C161;0;0
Nord Ovest;Piemonte;AL;C162;7;0
Nord Ovest;Piemonte;CN;C165;9,9;3
Nord Ovest;Piemonte;NO;C166;85,53;5,5
Nord Ovest;Piemonte;CN;C167;0;1
Sud;Abruzzo ;TE;C169;0;0
Centro;Toscana;SI;C172;10;4
Nord Ovest;Piemonte;CN;C173;1;2
Centro;Toscana;PI;C174;6;4,5
Sud;Molise;CB;C175;0;0
Nord Ovest;Piemonte;CN;C176;2;0
Centro;Lazio;FR;C177;0;0,54
Sud;Campania;CE;C178;1;1
Nord Ovest;Lombardia;VA;C181;9,25;8,33
Nord Ovest;Lombardia;PV;C184;2,34;0
Nord Est;Emilia-Romagna;BO;C185;87;2
Nord Ovest;Lombardia;SO;C186;1;2
Nord Ovest;Lombardia;LC;C187;19,25;0,5
Sud;Campania;NA;C188;24;4,33
Nord Est;Veneto;TV;C190;42,55;5
Nord Ovest;Lombardia;MN;C195;25,56;1
Sud;Molise;CB;C197;3;1
Sud;Puglia;FG;C198;6;2
Sud;Basilicata;PZ;C199;1;2
Sud;Molise;IS;C200;0;0
Sud;Basilicata;PZ;C201;1;5
Sud;Puglia;FG;C202;2;1
Centro;Lazio;RM;C203;13,5;17,58
Nord Est;Emilia-Romagna;BO;C204;225,5;19
Nord Ovest;Piemonte;CN;C205;0;0
Nord Ovest;Lombardia;CO;C206;7;0
Nord Est;Veneto;RO;C207;31,34;5,9
Nord Ovest;Lombardia;BS;C208;128,45;3
Sud;Basilicata;PZ;C209;2;2
Isole;Sicilia;ME;C210;1;0,5
Sud;Campania;CE;C211;0;2,5
Nord Ovest;Lombardia;PV;C213;2;0
Nord Ovest;Piemonte;CN;C214;0;0
Nord Est;Veneto;RO;C215;10,01;1,4
Nord Est;Friuli- Venezia Giulia;PN;C217;4;1,11
Nord Est;Emilia-Romagna;RE;C218;54,49;3
Nord Est;Emilia-Romagna;RE;C219;76,34;14,64
Nord Ovest;Lombardia;CO;C220;7,5;2
Sud;Puglia;FG;C222;1;0,67
Centro;Lazio;FR;C223;0;1
Centro;Lazio;RI;C224;0;0
Nord Est;Veneto;VR;C225;163,92;14,5
Nord Ovest;Piemonte;AT;C226;1;1
Centro;Toscana;SI;C227;65,59;15,23
Nord Ovest;Lombardia;LO;C228;2;2
Nord Ovest;Piemonte;AL;C229;3;0
Nord Ovest;Piemonte;AT;C230;3,44;0
Sud;Campania;SA;C231;8;0
Nord Ovest;Piemonte;AT;C232;24;2
Sud;Campania;SA;C235;0;3
Centro;Toscana;LU;C236;21,16;7
Centro;Lazio;RM;C237;24,75;8
Nord Ovest;Liguria;SP;C240;33,5;16
